"Scientific name","Common name","Coverage","URL",
"Dorcadothrips xanthius","cactus scale","Basic","https://www.cabi.org/isc/datasheet/113944",
"Drepanosiphum aceris","","Basic","https://www.cabi.org/isc/datasheet/113961",
"Drosophila curvispina","","Basic","https://www.cabi.org/isc/datasheet/113968",
"Dryadaula pactolia","","Basic","https://www.cabi.org/isc/datasheet/113969",
"Dryocoetes himalayensis","","Basic","https://www.cabi.org/isc/datasheet/113970",
"Earias ansorgei","","Basic","https://www.cabi.org/isc/datasheet/113981",
"Cotesia icipe","","Basic","https://www.cabi.org/isc/datasheet/35414119",
"Bifascioides leucomelanellus","","Basic","https://www.cabi.org/isc/datasheet/112701",
"Bisnius palmi","","Basic","https://www.cabi.org/isc/datasheet/112710",
"Bisnius sordidus","","Basic","https://www.cabi.org/isc/datasheet/112712",
"Blaberus parabolicus","","Basic","https://www.cabi.org/isc/datasheet/112715",
"Blaps mortisaga","","Basic","https://www.cabi.org/isc/datasheet/112718",
"Blastobasis maroccanella","","Basic","https://www.cabi.org/isc/datasheet/112719",
"Blastobasis phycidella","","Basic","https://www.cabi.org/isc/datasheet/112720",
"Blastobasis vittata","","Basic","https://www.cabi.org/isc/datasheet/112721",
"Novelsis horni","","Basic","https://www.cabi.org/isc/datasheet/115816",
"Bombus hortorum","","Basic","https://www.cabi.org/isc/datasheet/112743",
"Borkhausenia nefrax","","Basic","https://www.cabi.org/isc/datasheet/112753",
"Bovicola alpinus","","Basic","https://www.cabi.org/isc/datasheet/112764",
"Ocnerostoma piniariella","","Basic","https://www.cabi.org/isc/datasheet/115840",
"Brachygluta paludosa","","Basic","https://www.cabi.org/isc/datasheet/112774",
"Brachypeplus mauli","","Basic","https://www.cabi.org/isc/datasheet/112777",
"Odontofroggatia galili","","Basic","https://www.cabi.org/isc/datasheet/115851",
"Odontothrips meliloti","","Basic","https://www.cabi.org/isc/datasheet/115852",
"Brachytemnus porcatus","","Basic","https://www.cabi.org/isc/datasheet/112782",
"Gnathocerus maxillosus","","Basic","https://www.cabi.org/isc/datasheet/114614",
"Gracilia minuta","","Basic","https://www.cabi.org/isc/datasheet/114626",
"Tychius cuprifer","","Basic","https://www.cabi.org/isc/datasheet/117705",
"Gugolzia harmolitae","","Basic","https://www.cabi.org/isc/datasheet/114640",
"Umbaspis regularis","","Basic","https://www.cabi.org/isc/datasheet/117720",
"Urocerus californicus","","Basic","https://www.cabi.org/isc/datasheet/117727",
"Urocerus fantoma","","Basic","https://www.cabi.org/isc/datasheet/117728",
"Gyrophaena bihamata","","Basic","https://www.cabi.org/isc/datasheet/114658",
"Halacritus punctum","","Basic","https://www.cabi.org/isc/datasheet/114665",
"Halobrecta flavipes","","Basic","https://www.cabi.org/isc/datasheet/114668",
"Haplothrips rivnayi","","Basic","https://www.cabi.org/isc/datasheet/114678",
"Harmolita orchidearum","","Basic","https://www.cabi.org/isc/datasheet/114681",
"Harpalus cupreus","","Basic","https://www.cabi.org/isc/datasheet/114682",
"Colobopyga kewensis","","Basic","https://www.cabi.org/isc/datasheet/113407",
"Conoderus posticus","","Basic","https://www.cabi.org/isc/datasheet/113421",
"Contarina maculipennis","blossom midge","Basic","https://www.cabi.org/isc/datasheet/113431",
"Contarinia panici","","Basic","https://www.cabi.org/isc/datasheet/113432",
"Copidothrips octarticulatus","","Basic","https://www.cabi.org/isc/datasheet/113447",
"Cordalia obscura","","Basic","https://www.cabi.org/isc/datasheet/113449",
"Prenolepis jaegerskioeldi","","Basic","https://www.cabi.org/isc/datasheet/116529",
"Cordicomus instabilis","","Basic","https://www.cabi.org/isc/datasheet/113450",
"Pristiphora angulata","","Basic","https://www.cabi.org/isc/datasheet/116536",
"Pristiphora saxesenii","","Basic","https://www.cabi.org/isc/datasheet/116542",
"Pristiphora thalictri","","Basic","https://www.cabi.org/isc/datasheet/116543",
"Prodecatoma cooki","","Basic","https://www.cabi.org/isc/datasheet/116548",
"Prodiplosis vaccinii","","Basic","https://www.cabi.org/isc/datasheet/116549",
"Prodiplosis violicola","","Basic","https://www.cabi.org/isc/datasheet/116550",
"Proteinus brachypterus","","Basic","https://www.cabi.org/isc/datasheet/116551",
"Psammodius asper","","Basic","https://www.cabi.org/isc/datasheet/116558",
"Corticaria abietorum","","Basic","https://www.cabi.org/isc/datasheet/113486",
"Corticaria ferruginea","","Basic","https://www.cabi.org/isc/datasheet/113487",
"Corticaria pubescens","","Basic","https://www.cabi.org/isc/datasheet/113489",
"Psammotettix saxatilis","","Basic","https://www.cabi.org/isc/datasheet/116560",
"Psectrosema manii","","Basic","https://www.cabi.org/isc/datasheet/116562",
"Pseudectroma signatum","","Basic","https://www.cabi.org/isc/datasheet/116564",
"Pseudeurostus hilleri","","Basic","https://www.cabi.org/isc/datasheet/116567",
"Pseudococcus microcirculus","","Basic","https://www.cabi.org/isc/datasheet/116568",
"Corticaria serrata","","Basic","https://www.cabi.org/isc/datasheet/113490",
"Psilopa fratella","","Basic","https://www.cabi.org/isc/datasheet/116578",
"Psydrothrips kewi","","Basic","https://www.cabi.org/isc/datasheet/116581",
"Ptenidium pusillum","","Basic","https://www.cabi.org/isc/datasheet/116583",
"Pterostichus quadrifoveolatus","","Basic","https://www.cabi.org/isc/datasheet/116592",
"Ametastegia pallipes","","Basic","https://www.cabi.org/isc/datasheet/112208",
"Amethystea caeruea","","Basic","https://www.cabi.org/isc/datasheet/112209",
"Ametropus fragilis","","Basic","https://www.cabi.org/isc/datasheet/112210",
"Linepithema leucomelas","","Basic","https://www.cabi.org/isc/datasheet/115312",
"Anagyrus sawadai","","Basic","https://www.cabi.org/isc/datasheet/112244",
"Lionychus quadrilum","","Basic","https://www.cabi.org/isc/datasheet/115321",
"Liposcelis albothoracica","","Basic","https://www.cabi.org/isc/datasheet/115325",
"Liposcelis corrodens","","Basic","https://www.cabi.org/isc/datasheet/115327",
"Liposcelis divinatorius","","Basic","https://www.cabi.org/isc/datasheet/115329",
"Liposcelis rufa","","Basic","https://www.cabi.org/isc/datasheet/115333",
"Andricus corruptrix","","Basic","https://www.cabi.org/isc/datasheet/112260",
"Andricus grossulariae","","Basic","https://www.cabi.org/isc/datasheet/112261",
"Lithocharis ochracea","","Basic","https://www.cabi.org/isc/datasheet/115346",
"Anisopilothrips venustulus","","Basic","https://www.cabi.org/isc/datasheet/112275",
"Livilla variegata","","Basic","https://www.cabi.org/isc/datasheet/115354",
"Anotylus nitidulus","","Basic","https://www.cabi.org/isc/datasheet/112288",
"Anotylus speculifrons","","Basic","https://www.cabi.org/isc/datasheet/112289",
"Longicaudus trirhodus","","Basic","https://www.cabi.org/isc/datasheet/115366",
"Longitarsus kutscherae","","Basic","https://www.cabi.org/isc/datasheet/115367",
"Longitarsus lateripunctatus","","Basic","https://www.cabi.org/isc/datasheet/115368",
"Antaxius spinibrachius","","Basic","https://www.cabi.org/isc/datasheet/112292",
"Epauloecus unicolor","","Basic","https://www.cabi.org/isc/datasheet/114101",
"Ephippigerida nigromarginata","","Basic","https://www.cabi.org/isc/datasheet/114106",
"Ephistemus globulus","","Basic","https://www.cabi.org/isc/datasheet/114107",
"Epilachna argus","","Basic","https://www.cabi.org/isc/datasheet/114108",
"Epitrix pubescens","","Basic","https://www.cabi.org/isc/datasheet/114127",
"Epuraea aestiva","","Basic","https://www.cabi.org/isc/datasheet/114128",
"Epuraea biguttata","","Basic","https://www.cabi.org/isc/datasheet/114129",
"Sitobion alopecuri","","Basic","https://www.cabi.org/isc/datasheet/117208",
"Sitona cinnamomeus","","Basic","https://www.cabi.org/isc/datasheet/117209",
"Epuraea longula","","Basic","https://www.cabi.org/isc/datasheet/114130",
"Solieria dura","","Basic","https://www.cabi.org/isc/datasheet/117255",
"Somotrichus unifasciatus","","Basic","https://www.cabi.org/isc/datasheet/117260",
"Ericaphis scammelli","","Basic","https://www.cabi.org/isc/datasheet/114197",
"Ericaphis wakibae","","Basic","https://www.cabi.org/isc/datasheet/114198",
"Sphenophorus meridionalis","","Basic","https://www.cabi.org/isc/datasheet/117292",
"Sphodrus leucophthalmus","","Basic","https://www.cabi.org/isc/datasheet/117293",
"Spilococcus mamillariae","","Basic","https://www.cabi.org/isc/datasheet/117296",
"Orseolia difficilis","","Basic","https://www.cabi.org/isc/datasheet/116009",
"Orthotylus caprai","","Basic","https://www.cabi.org/isc/datasheet/116012",
"Otiorhynchus armatus","","Basic","https://www.cabi.org/isc/datasheet/116030",
"Otiorhynchus aurifer","","Basic","https://www.cabi.org/isc/datasheet/116031",
"Otiorhynchus clavipes","","Basic","https://www.cabi.org/isc/datasheet/116032",
"Otiorhynchus coecus","","Basic","https://www.cabi.org/isc/datasheet/116033",
"Otiorhynchus corruptor","","Basic","https://www.cabi.org/isc/datasheet/116034",
"Otiorhynchus mastix","","Basic","https://www.cabi.org/isc/datasheet/116037",
"Otiorhynchus porcatus","","Basic","https://www.cabi.org/isc/datasheet/116038",
"Otiorhynchus setulosus","","Basic","https://www.cabi.org/isc/datasheet/116039",
"Periplaneta americana","American cockroach","Basic","https://www.cabi.org/isc/datasheet/39662",
"Periplaneta australasiae","","Basic","https://www.cabi.org/isc/datasheet/39663",
"Pachynematus imperfectus","","Basic","https://www.cabi.org/isc/datasheet/116070",
"Pallenis spinosa","","Basic","https://www.cabi.org/isc/datasheet/116082",
"Palmiothrips palmae","","Basic","https://www.cabi.org/isc/datasheet/116084",
"Coelonia mauritii","","Basic","https://www.cabi.org/isc/datasheet/19476319",
"Specularius impressithorax","","Basic","https://www.cabi.org/isc/datasheet/50840",
"Brachiacantha ursina","","Basic","https://www.cabi.org/isc/datasheet/107819",
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Basic","https://www.cabi.org/isc/datasheet/120961",
"Pseudomegoura nipponica","","Basic","https://www.cabi.org/isc/datasheet/120990",
"Vagrans egistina","Mariana wandering butterfly","Basic","https://www.cabi.org/isc/datasheet/121656",
"Calymmaderus oblongus","","Basic","https://www.cabi.org/isc/datasheet/112904",
"Calyptotrypus hibinonis","green tree cricket","Basic","https://www.cabi.org/isc/datasheet/112905",
"Carabus convexus","","Basic","https://www.cabi.org/isc/datasheet/112945",
"Hister bipunctatus","","Basic","https://www.cabi.org/isc/datasheet/114822",
"Holoparamecus caularum","","Basic","https://www.cabi.org/isc/datasheet/114827",
"Xantholinus longiventris","","Basic","https://www.cabi.org/isc/datasheet/117902",
"Hoplandrothrips consobrinus","","Basic","https://www.cabi.org/isc/datasheet/114830",
"Hoplothrips ulmi","","Basic","https://www.cabi.org/isc/datasheet/114832",
"Xylodromus concinnus","","Basic","https://www.cabi.org/isc/datasheet/117914",
"Xylodromus deplanatus","","Basic","https://www.cabi.org/isc/datasheet/117915",
"Xylodromus depressus","","Basic","https://www.cabi.org/isc/datasheet/117916",
"Xylota caeruleiventris","","Basic","https://www.cabi.org/isc/datasheet/117918",
"Zaprionus ghesquieri","","Basic","https://www.cabi.org/isc/datasheet/117927",
"Zeuxia zejana","","Basic","https://www.cabi.org/isc/datasheet/117936",
"Zizeeria knysna","","Basic","https://www.cabi.org/isc/datasheet/117938",
"Hylastinus fankhauseri","","Basic","https://www.cabi.org/isc/datasheet/114889",
"Cosmia diffinis","","Basic","https://www.cabi.org/isc/datasheet/17704148",
"Cryphia algae","","Basic","https://www.cabi.org/isc/datasheet/113634",
"Rhinoncus pericarpius","","Basic","https://www.cabi.org/isc/datasheet/116713",
"Rhipidothrips gratiosus","","Basic","https://www.cabi.org/isc/datasheet/116714",
"Rhizoecus latus","","Basic","https://www.cabi.org/isc/datasheet/116717",
"Rhopalomesites tardyi","","Basic","https://www.cabi.org/isc/datasheet/116725",
"Rhopalosiphum parvae","","Basic","https://www.cabi.org/isc/datasheet/116727",
"Rhopalosiphum rufulum","","Basic","https://www.cabi.org/isc/datasheet/116728",
"Rhyopsocus disparilis","","Basic","https://www.cabi.org/isc/datasheet/116734",
