"","V1"
"1665",2351064
"1666",2351155
"1667",2351136
"1668",2350976
"1669",5200463
"1670",4309237
"1671",3082244
"1672",1784349
"1673",6460946
"1674",2704523
"1675",1044375
"1676",4450968
"1677",4450869
"1678",4450862
"1679",4450917
"1680",4450882
"1681",4450809
"1682",2482519
"1683",6100954
"1684",2482499
"1685",2265741
"1686",2265733
"1687",5185697
"1688",3198882
"1689",1488092
"1690",1488057
"1691",1487995
"1692",1488101
"1693",5962076
"1694",8001222
"1695",2020671
"1696",2020655
"1697",5421557
"1698",8390568
"1699",2498288
"1700",2128550
"1701",1169988
"1702",2318655
"1703",2492592
"1704",1257656
"1705",1257921
"1706",1257783
"1707",3112110
"1708",2474128
"1709",2474156
"1710",2474162
"1711",2217982
"1712",2217990
"1713",8747301
"1714",3115443
"1715",7820753
"1716",7394977
"1717",8016550
"1718",2286079
"1719",7565449
"1720",8035075
"1721",5690854
"1722",5689573
"1723",9220780
"1724",1638284
"1725",4520883
"1726",1324603
"1727",1325120
"1728",2392500
"1729",7366493
"1730",1039254
"1731",1007520
"1732",5192789
"1733",4360387
"1734",7324452
"1735",2438704
"1736",2475211
"1737",4990500
"1738",2228958
"1739",4322512
"1740",1736623
"1741",2435654
"1742",2435687
"1743",2441341
"1744",2441322
"1745",2517474
"1746",2517486
"1747",2517512
"1748",2150043
"1749",9176658
"1750",1212164
"1751",1212105
"1752",1242404
"1753",2566393
"1754",6718178
"1755",4550810
"1756",1043887
"1757",2091256
"1758",1873051
"1759",7960987
"1760",2584808
"1761",5160450
"1762",2869246
"1763",2869214
"1764",5895566
"1765",2566626
"1766",5895562
"1767",1043717
"1768",4989828
"1769",5749732
"1770",5749724
"1771",4989835
"1772",1042895
"1773",4989865
"1774",4989843
"1775",5749735
"1776",4989853
"1777",2656674
"1778",4989868
"1779",5749012
"1780",5749004
"1781",5748888
"1782",5749059
"1783",5748933
"1784",5749074
"1785",5749047
"1786",5749027
"1787",5749068
"1788",4990235
"1789",8151310
"1790",1736962
"1791",1034244
"1792",5179266
"1793",5179146
"1794",5179130
"1795",2120258
"1796",5730513
"1797",2566018
"1798",8107588
"1799",2592401
"1800",2007322
"1801",4424759
"1802",2069750
"1803",1231274
"1804",1231275
"1805",1304909
"1806",2013904
"1807",2013907
"1808",2013910
"1809",1284239
"1810",1419468
"1811",1419472
"1812",1421095
"1813",1421100
"1814",2362030
"1815",1785329
"1816",2459603
"1817",2209874
"1818",1487130
"1819",2618997
"1820",2618947
"1821",5793674
"1822",2356556
"1823",1652909
"1824",1652991
"1825",1653175
"1826",1653127
"1827",1653260
"1828",1649571
"1829",2516075
"1830",2589233
"1831",2434317
"1832",2684030
"1833",5010466
"1834",4451875
"1835",2927518
"1836",2927493
"1837",2927490
"1838",6537484
"1839",2292317
"1840",2479529
"1841",5274893
"1842",5243140
"1843",4470300
"1844",6962435
"1845",2443436
"1846",2406520
"1847",4458140
"1848",8308248
"1849",8608139
"1850",2116818
"1851",2116814
"1852",5962255
"1853",1724191
"1854",5899940
"1855",4362606
"1856",8756320
"1857",5960674
"1858",1737808
"1859",1737761
"1860",1737816
"1861",1737847
"1862",1737775
"1863",4530002
"1864",2498344
"1865",2498345
"1866",2498347
"1867",2498335
"1868",2498343
"1869",9299496
"1870",2562837
"1871",2563273
